dir,right,left,front,angle,target
-1,0,0,0,0.5288579383763045,0
1,0,0,0,-0.9735353239404101,0
-1,0,0,0,0.5525684567112534,0
1,0,0,0,-0.9514102096524711,0
0,0,0,0,0.5721923155106472,0
1,0,0,0,0.5950151609391798,1
-1,0,0,0,0.10241638234956678,0
1,0,0,0,0.6256659163780024,1
1,0,0,0,0.13579974878009188,1
0,1,0,0,-0.38898274154500007,1
-1,0,0,0,-0.4152493405385679,1
0,0,0,0,0.09277357907774239,1
1,0,0,0,0.10241638234956678,1
1,0,0,0,-0.43039551272693605,0
0,1,0,0,-0.9371670418109987,0
0,1,0,0,-0.9427508529512999,0
0,0,0,0,-0.9474315432887466,0
-1,0,0,0,-0.9514102096524711,1
1,0,0,0,-0.4755627480278026,0
0,0,0,0,-0.9773021290001396,0
-1,0,0,0,-0.9788106953650535,1
1,0,0,0,-0.5,0
-1,0,0,0,1.0,0
0,0,0,0,-0.5198685243055409,0
0,0,0,0,-0.5395834241605656,0
1,0,0,0,-0.5589980848675286,0
0,0,0,0,0.9444001122142149,0
-1,0,0,0,0.9474315432887466,0
-1,0,0,0,-0.5696044872730639,1
-1,0,1,0,-0.07355844397326222,-1
0,0,0,0,0.862360330173156,0
-1,0,0,0,0.8711189415908434,0
-1,0,0,0,-0.6475836176504333,1
-1,0,1,0,-0.1572264209222576,-1
0,0,0,0,-0.2951672353008665,1
0,0,0,0,-0.30559988778578523,1
1,0,0,0,-0.3165340691344631,0
1,0,0,0,-0.8235584439732623,0
1,1,0,0,0.6871670418109987,-1
-1,0,0,0,0.33858553278290476,0
-1,0,0,0,0.8457858855496665,0
1,0,1,0,-0.6670476823436803,0
-1,0,0,0,0.8399400347612609,0
0,0,0,0,-0.6720208696226306,0
0,0,0,0,-0.6834659308655369,0
1,0,0,0,-0.6944001122142147,0
1,0,0,0,0.8128329581890013,1
1,1,0,0,0.3235584439732623,-1
0,0,0,0,-0.11420025121990815,1
-1,0,0,0,-0.12111894159084341,1
0,0,0,0,0.39758361765043326,1
1,0,0,0,0.4170476823436802,1
1,0,0,0,-0.08858553278290475,0
1,1,0,0,-0.6091879114336295,-1
0,0,0,0,-0.7895834241605656,0
1,0,0,0,-0.8055998877857853,0
1,0,0,0,0.7147767125227227,1
-1,1,0,0,0.2312974407587233,0
0,0,0,0,0.75,0
0,0,0,0,0.7667377083565741,0
0,0,0,0,0.7817255174305535,0
-1,0,0,0,0.7951672353008665,0
-1,0,0,0,-0.7211420616236955,1
-1,0,1,0,-0.2348538278116319,-1
1,0,0,0,-0.9840977487438237,0
0,0,0,0,0.5317255174305535,0
-1,0,0,0,0.5473931422774896,0
0,0,0,0,-0.9548327646991335,0
1,0,0,0,-0.9568601887865259,0
1,0,0,0,0.5572491470487001,1
1,1,0,0,0.059912765930903236,-1
-1,0,0,0,0.8524163823495667,0
-1,0,0,0,-0.7048327646991335,1
-1,0,1,0,-0.25,-1
1,0,0,0,-0.25,0
0,0,0,0,-0.7590920946756484,0
1,0,0,0,-0.7676657228881346,0
0,0,0,0,0.7413991238945667,0
-1,0,0,0,0.75,0
1,0,0,0,-0.7581600039688102,0
1,0,0,0,0.75,1
0,1,0,0,0.2581600039688101,1
-1,0,0,0,0.2667377083565741,0
-1,0,0,0,0.7744372519721974,0
1,0,1,0,-0.7340977487438237,0
1,0,0,0,0.7732495340284355,1
-1,1,0,0,0.2817255174305536,0
0,0,0,0,0.7886275414898551,0
0,0,0,0,0.7951672353008665,0
1,0,0,0,0.8013672930309069,1
0,0,0,0,0.30991276593090333,1
0,0,0,0,0.3187819829378176,1
1,0,0,0,0.32797913037736937,1
-1,0,0,0,-0.17780768448935277,1
0,0,0,0,0.3319086824248374,1
0,0,0,0,0.34198372986464803,1
1,0,0,0,0.35241638234956674,1
1,0,0,0,-0.15307117542621002,0
0,1,0,0,-0.6637549389069208,0
